# core width data from Keski-Rahkonen and Krause (1974)
# Z  Symbol  Edge  Core Width(eV)
 39     Y    M4      0.0745
 39     Y    M5      0.0745
 39     Y    N1      2.5891
 39     Y    N2      0.0010
 39     Y    N3      0.0010
 40    Zr     K      4.8000
 40    Zr    L1      6.6494
 40    Zr    L2      1.7067
 40    Zr    L3      1.4185
 40    Zr    M1      6.3307
 40    Zr    M2      2.6000
 40    Zr    M3      2.6000
 40    Zr    M4      0.0700
 40    Zr    M5      0.0700
 40    Zr    N1      6.2000
 40    Zr    N2      0.0010
 40    Zr    N3      0.0010
 41    Nb     K      5.1908
 41    Nb    L1      6.5814
 41    Nb    L2      1.8566
 41    Nb    L3      1.5343
 41    Nb    M1      6.5573
 41    Nb    M2      2.7374
 41    Nb    M3      2.7374
 41    Nb    M4      0.0890
 41    Nb    M5      0.0890
 41    Nb    N1      6.3084
 41    Nb    N2      0.0436
 41    Nb    N3      0.0436
 42    Mo     K      5.6135
 42    Mo    L1      6.5141
 42    Mo    L2      2.0197
 42    Mo    L3      1.6595
 42    Mo    M1      6.7920
 42    Mo    M2      2.8822
 42    Mo    M3      2.8822
 42    Mo    M4      0.1133
 42    Mo    M5      0.1133
 42    Mo    N1      6.4188
 42    Mo    N2      1.9000
 42    Mo    N3      1.9000
 43    Tc     K      6.0705
 43    Tc    L1      6.4475
 43    Tc    L2      2.1971
 43    Tc    L3      1.7950
 43    Tc    M1      7.0351
 43    Tc    M2      3.0345
 43    Tc    M3      3.0345
 43    Tc    M4      0.1441
 43    Tc    M5      0.1441
 43    Tc    N1      6.5310
 43    Tc    N2      2.5760
 43    Tc    N3      2.5760
 44    Ru     K      6.5648
 44    Ru    L1      6.3816
 44    Ru    L2      2.3901
 44    Ru    L3      1.9415
 44    Ru    M1      7.2869
 44    Ru    M2      3.1949
 44    Ru    M3      3.1949
 44    Ru    M4      0.1833
 44    Ru    M5      0.1833
 44    Ru    N1      6.6452
 44    Ru    N2      3.4926
 44    Ru    N3      3.4926
 45    Rh     K      7.0993
 45    Rh    L1      6.3164
 45    Rh    L2      2.6000
 45    Rh    L3      2.1000
 45    Rh    M1      7.5478
 45    Rh    M2      3.3638
 45    Rh    M3      3.3638
 45    Rh    M4      0.2332
 45    Rh    M5      0.2332
 45    Rh    N1      6.7614
 45    Rh    N2      4.7352
 45    Rh    N3      4.7352
 45    Rh    N4      0.0122
 45    Rh    N5      0.0122
 46    Pd     K      7.6773
 46    Pd    L1      6.2518
 46    Pd    L2      2.6802
 46    Pd    L3      2.1727
 46    Pd    M1      7.8179
 46    Pd    M2      3.5417
 46    Pd    M3      3.5417
 46    Pd    M4      0.2966
 46    Pd    M5      0.2966
 46    Pd    N1      6.8797
 46    Pd    N2      6.4200
 46    Pd    N3      6.4200
 46    Pd    N4      0.0202
 46    Pd    N5      0.0202
 47    Ag     K      8.3024
 47    Ag    L1      6.1879
 47    Ag    L2      2.7628
 47    Ag    L3      2.2480
 47    Ag    M1      8.0977
 47    Ag    M2      3.7289
 47    Ag    M3      3.7289
 47    Ag    M4      0.3773
 47    Ag    M5      0.3773
 47    Ag    N1      7.0000
 47    Ag    N2      8.7042
 47    Ag    N3      8.7042
 47    Ag    N4      0.0334
 47    Ag    N5      0.0334
 48    Cd     K      8.9784
 48    Cd    L1      6.1246
 48    Cd    L2      2.8480
 48    Cd    L3      2.3259
 48    Cd    M1      8.3876
 48    Cd    M2      3.9260
 48    Cd    M3      3.9260
 48    Cd    M4      0.4800
 48    Cd    M5      0.4800
 48    Cd    N1      5.3924
 48    Cd    N2      11.8012
 48    Cd    N3      11.8012
 48    Cd    N4      0.0551
 48    Cd    N5      0.0551
 49    In     K      9.7094
 49    In    L1      6.0620
 49    In    L2      2.9358
 49    In    L3      2.4065
 49    In    M1      8.6878
 49    In    M2      4.1335
 49    In    M3      4.1335
 49    In    M4      0.5166
 49    In    M5      0.5094
 49    In    N1      4.1540
 49    In    N2      16.0000
 49    In    N3      16.0000
 49    In    N4      0.0909
 49    In    N5      0.0909
 50    Sn     K      10.5000
 50    Sn    L1      6.0000
 50    Sn    L2      3.0263
 50    Sn    L3      2.4898
 50    Sn    M1      8.9987
 50    Sn    M2      4.3521
 50    Sn    M3      4.3521
 50    Sn    M4      0.5559
 50    Sn    M5      0.5406
 50    Sn    N1      3.2000
 50    Sn    N2      11.2090
 50    Sn    N3      11.2090
 50    Sn    N4      0.1500
 50    Sn    N5      0.1500
 51    Sb     K      11.2536
 51    Sb    L1      4.7117
 51    Sb    L2      3.1196
 51    Sb    L3      2.5761
 51    Sb    M1      9.3208
 51    Sb    M2      4.5821
 51    Sb    M3      4.5821
 51    Sb    M4      0.5982
 51    Sb    M5      0.5738
 51    Sb    N1      3.5425
 51    Sb    N2      7.8527
 51    Sb    N3      7.8527
 51    Sb    N4      0.1383
 51    Sb    N5      0.1383
 51    Sb    O1      0.1000
 51    Sb    O2      0.1000
 51    Sb    O3      0.1000
 52    Te     K      12.0613
